mp-id,formula,n,band_gap,poly_total,poly_electronic
mp-441,Rb2Te,1.86,1.88,6.23,3.44
mp-22881,CdCl2,1.78,3.52,6.73,3.16
mp-28013,MnI2,2.23,1.17,10.64,4.97
mp-567290,LaN,2.65,1.12,17.99,7.04
mp-560902,MnF2,1.53,2.87,7.12,2.35
mp-22894,AgI,2.23,1.4,7.16,4.97
mp-1747,K2Te,1.86,2.14,6.22,3.47
mp-971,K2O,1.78,1.71,9.24,3.18
mp-1500,BaS,2.19,2.15,14.95,4.81
mp-2784,Na2Te,2.08,2.02,7.88,4.32
mp-2693,SnSe,6.76,0.12,45.7,45.7
mp-1672,CaS,2.23,2.38,12.09,4.99
mp-2530,Li2Te,2.23,2.5,8.42,4.97
mp-1186,ZrS2,2.84,1.05,35.9,8.05
mp-8426,K2Se,1.82,2.09,6.37,3.3
mp-568264,SiSe2,1.96,2.15,4.82,3.85
mp-1315,MgS,2.32,2.76,16.02,5.4
mp-567259,CdI2,2.18,2.42,10.7,4.73
mp-27934,CdBr2,1.88,2.94,7.48,3.54
mp-2114,YN,3.93,0.15,120.01,15.43
mp-8177,HgF2,1.96,0.97,12.36,3.84
mp-2097,SnO,2.7,0.41,18.73,7.29
mp-604884,BN,1.96,4.42,5.08,3.84
mp-617,PtO2,2.73,1.6,9.29,7.44
mp-1022,K2S,1.76,2.32,6.36,3.1
mp-422,BeS,2.29,3.14,7.26,5.26
mp-23205,MgI2,1.92,3.62,6.72,3.67
mp-22867,RbBr,1.57,4.19,5.69,2.45
mp-22877,VCl2,1.98,1.25,5.18,3.92
mp-648,Na2S,1.87,2.44,7.04,3.51
mp-570259,MgCl2,1.62,5.57,5.22,2.64
mp-762,PtS2,3.18,1.54,10.9,10.14
mp-1105,BaO2,1.88,2.23,17.11,3.52
mp-2352,Na2O,1.81,1.87,7.57,3.27
mp-1115,PtSe2,3.91,0.83,16.0,15.28
mp-1569,Be2C,2.65,1.17,14.92,7.0
mp-28306,MnBr2,1.91,1.6,8.26,3.66
mp-2286,Li2Se,2.08,2.97,7.84,4.32
mp-23209,SrCl2,1.7,5.23,8.48,2.88
mp-1285,PtO2,4.62,0.64,22.44,21.34
mp-241,CdF2,1.67,2.9,9.02,2.8
mp-2251,Li3N,2.45,0.98,10.69,6.0
mp-984,BN,1.89,4.48,4.68,3.57
mp-1266,Na2Se,1.99,2.02,7.52,3.96
mp-570538,NaN3,1.52,3.94,5.16,2.32
mp-2659,LiN3,1.66,3.64,10.0,2.76
mp-8062,SiC,2.65,1.37,10.36,7.0
mp-1778,BeO,1.76,6.85,7.2,3.11
mp-13150,BN,1.93,4.39,4.9,3.73
mp-830,GaN,2.47,1.57,10.96,6.09
mp-1479,BP,3.03,1.24,9.27,9.18
mp-22925,AgI,2.24,1.37,7.32,5.02
mp-2646,Mg3Sb2,3.85,0.22,32.38,14.8
mp-13033,MgTe,2.35,2.32,7.98,5.5
mp-760,FeSe2,5.17,0.36,36.83,26.7
mp-1522,FeS2,4.59,0.87,27.48,21.06
mp-12779,CdTe,3.02,0.62,12.44,9.1
mp-559798,NiF2,1.58,4.8,5.2,2.51
mp-7991,BN,1.86,4.16,4.52,3.46
mp-1602,SiS2,1.77,3.07,4.02,3.14
mp-22903,RbI,1.65,3.78,5.69,2.71
mp-2815,MoS2,3.08,1.23,9.76,9.51
mp-1153,Li2S,1.97,3.39,7.42,3.86
mp-23295,RbCl,1.51,4.84,5.65,2.28
mp-1415,CaSe,2.37,2.08,12.47,5.62
mp-827,KN3,1.57,4.16,6.21,2.47
mp-2341,Li3N,2.36,1.22,13.13,5.58
mp-23268,NaI,1.83,3.53,8.36,3.33
mp-2469,CdS,2.49,1.05,10.49,6.22
mp-1087,SrS,2.16,2.5,11.87,4.65
mp-1986,ZnO,2.45,0.63,11.35,6.01
mp-2667,CsAu,2.23,1.02,10.21,4.99
mp-2691,CdSe,2.99,0.51,12.93,8.96
mp-23210,MgCl2,1.61,5.62,5.07,2.59
mp-13031,MgSe,2.16,2.55,7.24,4.65
mp-22916,NaBr,1.68,4.09,7.3,2.82
mp-1519,CaTe,2.57,1.55,12.96,6.59
mp-8041,Rb2S,1.78,1.96,6.61,3.18
mp-22904,CaCl2,1.65,5.35,7.16,2.74
mp-23714,SrH2,2.02,3.15,12.24,4.08
mp-23713,CaH2,2.11,3.03,11.58,4.45
mp-510557,CsN3,1.59,4.22,7.0,2.54
mp-841,Li2O2,1.78,1.97,9.12,3.16
mp-568619,SiC,2.66,1.75,10.49,7.08
mp-23711,MgH2,2.01,3.63,11.04,4.05
mp-743,RbN3,1.57,4.17,6.16,2.46
mp-29145,H3N,1.48,4.33,2.99,2.19
mp-32780,AuCl,2.14,1.87,4.85,4.57
mp-736,Li3P,2.62,0.7,11.41,6.87
mp-23715,BaH2,2.06,2.87,11.73,4.26
mp-24972,Fe2O3,2.49,1.53,19.87,6.21
mp-23189,BI3,1.66,2.68,2.94,2.77
mp-23214,CaCl2,1.66,5.39,7.17,2.75
mp-29443,PI2,1.95,1.93,4.25,3.79
mp-22909,ZnCl2,1.69,4.05,5.2,2.87
mp-352,HfO2,2.19,4.02,18.75,4.81
mp-19128,CoO,2.39,0.71,9.79,5.69
mp-29266,CsS,1.73,1.71,5.86,3.0
mp-9252,HgS,2.57,1.69,12.33,6.58
mp-224,WS2,3.04,1.56,9.31,9.25
mp-7140,SiC,2.66,2.3,10.58,7.08
mp-1821,WSe2,3.19,1.45,10.26,10.15
mp-568018,RbSb2,3.05,0.27,13.58,9.31
mp-2793,AuSe,3.28,0.26,11.29,10.76
mp-22917,CuBr,2.19,0.99,11.57,4.8
mp-471,CdAs2,3.9,0.15,22.24,15.19
mp-9254,Al2Te5,3.0,1.04,18.62,9.01
mp-558071,RbS,1.68,1.7,5.33,2.84
mp-602,Te2Mo,3.77,0.97,15.25,14.24
mp-556520,CoF2,1.62,3.07,6.24,2.61
mp-8882,GaP,3.22,1.3,12.51,10.35
mp-8884,ZnTe,2.96,1.1,11.52,8.76
mp-22888,CaBr2,1.77,4.53,7.65,3.13
mp-1634,MoSe2,3.26,1.42,11.73,10.66
mp-556911,FeF2,1.55,3.24,6.65,2.42
mp-1873,ZnF2,1.6,3.48,8.14,2.56
mp-8880,AlP,2.86,1.96,10.52,8.21
mp-380,ZnSe,2.68,1.2,10.4,7.18
mp-28248,CdI2,2.14,2.37,10.24,4.57
mp-8881,AlAs,3.08,1.69,11.55,9.5
mp-1591,Al4C3,2.86,1.32,17.83,8.17
mp-1818,SiF4,1.28,7.72,2.17,1.63
mp-28266,P2Pd,4.75,0.46,24.18,22.6
mp-684,BaS2,2.23,1.58,10.3,4.98
mp-555934,VF2,1.57,2.25,4.46,2.48
mp-8560,SF6,1.31,5.78,2.15,1.71
mp-560588,ZnS,2.41,2.08,9.1,5.83
mp-566755,NiF2,1.59,4.81,5.2,2.52
mp-22003,NaN3,1.52,4.02,5.02,2.31
mp-23267,BeCl2,1.52,6.33,3.1,2.31
mp-927,CuP2,4.04,0.86,16.71,16.3
mp-487,MnP4,4.42,0.43,25.05,19.51
mp-29504,ClF,1.68,2.05,5.12,2.83
mp-505366,AuBr,2.19,1.69,5.37,4.81
mp-27455,YCl3,1.62,4.93,4.92,2.61
mp-7446,Rb2S3,1.9,1.32,7.69,3.63
mp-7447,Rb2Se3,2.34,0.67,9.23,5.49
mp-7449,Cs2Se3,2.19,0.74,8.54,4.79
mp-7048,Al2O3,1.78,4.46,8.98,3.16
mp-7029,SiO2,1.5,5.51,4.04,2.24
mp-554151,SiO2,1.47,5.73,3.74,2.15
mp-27397,IrBr3,2.27,1.56,5.5,5.16
mp-239,BaS3,2.44,1.37,13.58,5.94
mp-8943,PtF4,2.13,1.38,5.22,4.52
mp-2604,MgTe2,3.23,1.12,14.77,10.43
mp-8723,AsF5,1.35,4.6,2.35,1.82
mp-28099,SBr,1.82,2.23,5.23,3.31
mp-2068,RhF3,2.93,0.86,9.67,8.61
mp-8262,K2P3,2.19,0.71,8.48,4.8
mp-1106,Sr2Si,4.11,0.35,32.16,16.87
mp-568536,BaI2,2.08,3.05,17.76,4.34
mp-2400,NaS,2.02,1.23,8.23,4.08
mp-2552,TeO3,2.34,1.15,14.97,5.49
mp-6949,InF3,1.51,4.02,6.1,2.28
mp-8511,PF5,1.3,7.09,2.14,1.7
mp-22896,LaCl3,1.93,3.65,10.22,3.74
mp-8289,SnF3,1.61,2.72,8.79,2.6
mp-23263,LaBr3,2.1,2.92,10.69,4.41
mp-570589,SeBr,2.16,1.51,6.31,4.65
mp-25469,AlCl3,1.69,5.26,5.35,2.85
