symbol,name,atomic_number,atomic_mass,atomic_radius,row,group,is_metal,electronegativity,density_solid,melting_point,molar_volume,refractive_index,elec_resist,therm_cond,youngs_mod,poissons_ratio
H,Hydrogen,1,1.00794,0.25,1,1,False,2.2,,14.01 K,11.42,1.000132 (gas; liquid 1.12)(no units),,0.1805,,
He,Helium,2,4.002602,,1,18,False,,,0.95 K,21.0,1.000035 (gas; liquid 1.028)(no units),,0.1513,,
Li,Lithium,3,6.941,1.45,2,1,True,0.98,535.0,453.69 K,13.02,,9.5e-08,85.0,4.9,
Be,Beryllium,4,9.012182,1.05,2,2,True,1.57,1848.0,1560.0 K,4.85,,3.8e-08,190.0,287.0,0.032
B,Boron,5,10.811,0.85,2,13,False,2.04,2460.0,2349.0 K,4.39,,1000000000000.0,27.0,,
C,Carbon,6,12.0107,0.7,2,14,False,2.55,2267.0,3800.0 K,5.29,2.417 (diamond)(no units),1e-05,140.0,,
N,Nitrogen,7,14.0067,0.65,2,15,False,3.04,,63.05 K,13.54,1.000298 (gas; liquid 1.197)(no units),,0.02583,,
O,Oxygen,8,15.9994,0.6,2,16,False,3.44,,54.8 K,17.36,1.000271 (gas; liquid 1.221)(no units),,0.02658,,
F,Fluorine,9,18.9984032,0.5,2,17,False,3.98,,53.53 K,11.2,1.000195,,0.0277,,
Ne,Neon,10,20.1797,,2,18,False,,,24.56 K,13.23,1.000067,,0.0491,,
Na,Sodium,11,22.98976928,1.8,3,1,True,0.93,968.0,370.87 K,23.78,,4.9e-08,140.0,10.0,
Mg,Magnesium,12,24.305,1.5,3,2,True,1.31,1738.0,923.0 K,14.0,,4.4e-08,160.0,45.0,0.29
Al,Aluminum,13,26.9815386,1.25,3,13,True,1.61,2700.0,933.47 K,10.0,,2.7e-08,235.0,70.0,0.35
Si,Silicon,14,28.0855,1.1,3,14,False,1.9,2330.0,1687.0 K,12.06,,0.001,150.0,47.0,
P,Phosphorus,15,30.973762,1.0,3,15,False,2.19,1823.0,317.3 K,17.02,1.001212,1e-07,0.236,,
S,Sulfur,16,32.065,1.0,3,16,False,2.58,1960.0,388.36 K,15.53,1.001111,1e+23,0.205,,
Cl,Chlorine,17,35.453,1.0,3,17,False,3.16,,171.6 K,17.39,1.000773,10000000000.0,0.0089,,
Ar,Argon,18,39.948,0.71,3,18,False,,,83.8 K,22.56,1.000281,,0.01772,,
K,Potassium,19,39.0983,2.2,4,1,True,0.82,856.0,336.53 K,45.94,,7.5e-08,100.0,,
Ca,Calcium,20,40.078,1.8,4,2,True,1.0,1550.0,1115.0 K,26.2,,3.4e-08,200.0,20.0,0.31
Sc,Scandium,21,44.955912,1.6,4,3,True,1.36,2985.0,1814.0 K,15.0,,5.5e-07,16.0,74.0,0.28
Ti,Titanium,22,47.867,1.4,4,4,True,1.54,4507.0,1941.0 K,10.64,,4e-07,22.0,116.0,0.32
V,Vanadium,23,50.9415,1.35,4,5,True,1.63,6110.0,2183.0 K,8.32,,2e-07,31.0,128.0,0.37
Cr,Chromium,24,51.9961,1.4,4,6,True,1.66,7140.0,2180.0 K,7.23,,1.27e-07,94.0,279.0,0.21
Mn,Manganese,25,54.938045,1.4,4,7,True,1.55,7470.0,1519.0 K,7.35,,1.44e-06,7.8,198.0,
Fe,Iron,26,55.845,1.4,4,8,True,1.83,7874.0,1811.0 K,7.09,,1e-07,80.0,211.0,0.29
Co,Cobalt,27,58.933195,1.35,4,9,True,1.88,8900.0,1768.0 K,6.67,,6e-08,100.0,209.0,0.31
Ni,Nickel,28,58.6934,1.35,4,10,True,1.91,8908.0,1728.0 K,6.59,,7.2e-08,91.0,200.0,0.31
Cu,Copper,29,63.546,1.35,4,11,True,1.9,8920.0,1357.77 K,7.11,,1.72e-08,400.0,130.0,0.34
Zn,Zinc,30,65.409,1.35,4,12,True,1.65,7140.0,692.68 K,9.16,1.00205,6e-08,120.0,108.0,0.25
Ga,Gallium,31,69.723,1.3,4,13,True,1.81,5904.0,302.91 K,11.8,,1.4e-07,29.0,,
Ge,Germanium,32,72.64,1.25,4,14,False,2.01,5323.0,1211.4 K,13.63,,0.0005,60.0,,
As,Arsenic,33,74.9216,1.15,4,15,False,2.18,5727.0,1090.0 K,12.95,1.001552,3.3e-07,50.0,8.0,
Se,Selenium,34,78.96,1.15,4,16,False,2.55,4819.0,494.0 K,16.42,1.000895,1e-08,0.52,10.0,0.33
Br,Bromine,35,79.904,1.15,4,17,False,2.96,,265.8 K,19.78,1.001132,1e+18,0.12,,
Kr,Krypton,36,83.798,,4,18,False,3.0,,115.79 K,27.99,1.000427,,0.00943,,
Rb,Rubidium,37,85.4678,2.35,5,1,True,0.82,1532.0,312.46 K,55.76,,1.33e-07,58.0,2.4,
Sr,Strontium,38,87.62,2.0,5,2,True,0.95,2630.0,1050.0 K,33.94,,1.35e-07,35.0,,0.28
Y,Yttrium,39,88.90585,1.8,5,3,True,1.22,4472.0,1799.0 K,19.88,,6e-07,17.0,64.0,0.24
Zr,Zirconium,40,91.224,1.55,5,4,True,1.33,6511.0,2128.0 K,14.02,,4.33e-07,23.0,68.0,0.34
