composition,gap expt,composition_pmg,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NValence,MagpieData mean NpUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber
Ag0.5Ge1Pb1.75S4,1.83,Ag0.5 Ge1 Pb1.75 S4,36.275862068965516,83.48275862068965,611.4996551724139,14.89655172413793,119.72413793103448,2.3962068965517243,1.9310344827586208,2.9655172413793105,4.482758620689655,12.758620689655173,2.6206896551724137,2.689655172413793,25.311724137931034,1.2677241379310344,139.48275862068965
Ag0.5Ge1Pb1.75Se4,1.51,Ag0.5 Ge1 Pb1.75 Se4,46.206896551724135,84.03448275862068,669.7837931034484,14.89655172413793,128.0,2.3796551724137927,1.9310344827586208,2.9655172413793105,10.0,18.275862068965516,2.6206896551724137,2.689655172413793,25.385172413793107,0.49365517241379314,108.58620689655173
Ag2GeS3,1.98,Ag2 Ge1 S3,29.0,78.83333333333333,807.7233333333334,14.0,120.83333333333333,2.268333333333333,1.6666666666666667,2.3333333333333335,5.0,9.0,1.6666666666666667,2.0,22.170937499999997,1.1648333333333334,147.5
Ag2GeSe3,0.9,Ag2 Ge1 Se3,38.0,79.33333333333333,860.5433333333334,14.0,128.33333333333334,2.2533333333333334,1.6666666666666667,2.3333333333333335,10.0,14.0,1.6666666666666667,2.0,22.2375,0.4633333333333334,119.5
Ag2HgI4,2.47,Ag2 Hg1 I4,55.142857142857146,83.57142857142857,607.3685714285714,14.571428571428571,139.71428571428572,2.357142857142857,1.7142857142857142,2.857142857142857,10.0,16.571428571428573,0.5714285714285714,0.8571428571428571,32.85108374384286,0.6068571428571429,124.57142857142857
Ag2Mo(I2O7)2,3.06,Ag2 Mo1 I4 O14,21.904761904761905,84.85714285714286,365.7361904761905,15.238095238095237,91.61904761904762,3.0866666666666664,1.8571428571428572,3.619047619047619,3.0952380952380953,8.571428571428571,1.5238095238095237,1.9047619047619047,16.565714285714286,0.2022857142857143,52.523809523809526
Ag2PdO2,0.18,Ag2 Pd1 O2,31.2,73.2,881.5020000000001,12.8,112.2,2.588,1.2,1.6,6.0,8.8,0.8,1.2,13.056000000000001,0.0,139.8
Ag5IO6,1.4,Ag5 I1 O6,28.0,78.58333333333333,574.1916666666667,14.0,105.0,2.7458333333333336,1.5833333333333333,2.4166666666666665,5.0,9.0,1.0833333333333333,1.5,14.941249999999998,0.08850000000000001,105.08333333333333
Ag7AsS6,1.0,Ag7 As1 S6,32.714285714285715,76.21428571428571,861.7621428571429,13.428571428571429,126.0,2.2264285714285714,1.5,1.9285714285714286,5.714285714285714,9.142857142857142,1.0714285714285714,1.5714285714285714,20.800446428571426,0.9437142857142857,154.35714285714286
Ag7AsSe6,1.0,Ag7 As1 Se6,40.42857142857143,76.64285714285714,907.0364285714286,13.428571428571429,132.42857142857142,2.2135714285714285,1.5,1.9285714285714286,10.0,13.428571428571429,1.0714285714285714,1.5714285714285714,20.857499999999998,0.34242857142857147,130.35714285714286
Ag8GeS6,1.18,Ag8 Ge1 S6,33.6,75.13333333333334,894.7333333333333,13.2,127.33333333333333,2.195333333333333,1.4666666666666666,1.7333333333333334,6.0,9.2,1.0666666666666667,1.6,20.55775,0.9063333333333332,163.0
Ag8SnSe6,0.71,Ag8 Sn1 Se6,42.0,75.6,889.9013333333334,13.2,134.6,2.1799999999999997,1.4666666666666666,1.7333333333333334,10.0,13.2,1.0666666666666667,1.6,21.296333333333333,0.31960000000000005,135.0
AgAsSe2,1.4,Ag1 As1 Se2,37.0,81.75,828.2325000000001,14.5,126.0,2.3025,1.75,2.75,10.0,14.5,1.75,2.0,22.58625,0.3995,104.75
AgBi(PS3)2,1.7,Ag1 Bi1 P2 S6,25.6,84.5,474.409,15.2,113.7,2.3810000000000002,1.9,3.3,2.0,8.6,2.1,2.2,24.91417261904,1.6461999999999999,66.1
AgBi(PSe3)2,1.4,Ag1 Bi1 P2 Se6,36.4,85.1,537.793,15.2,122.7,2.363,1.9,3.3,8.0,14.6,2.1,2.2,24.99404761904,0.8044,32.5
AgBiPbS3,1.2,Ag1 Bi1 Pb1 S3,43.333333333333336,82.66666666666667,590.8366666666667,14.666666666666666,125.66666666666667,2.3366666666666664,1.8333333333333333,2.8333333333333335,5.0,14.333333333333334,2.1666666666666665,2.3333333333333335,25.791770833333334,1.101,112.0
AgBiPbSe3,0.13,Ag1 Bi1 Pb1 Se3,52.333333333333336,83.16666666666667,643.6566666666666,14.666666666666666,133.16666666666666,2.3216666666666668,1.8333333333333333,2.8333333333333335,10.0,19.333333333333332,2.1666666666666665,2.3333333333333335,25.858333333333334,0.3995,84.0
AgBiS2,0.9,Ag1 Bi1 S2,40.5,81.75,639.0125,14.5,125.75,2.2775,1.75,2.75,5.0,13.0,1.75,2.0,25.213437499999998,1.101,94.25
AgBiSe2,0.34,Ag1 Bi1 Se2,49.5,82.25,691.8325,14.5,133.25,2.2625,1.75,2.75,10.0,18.0,1.75,2.0,25.28,0.3995,66.25
AgBr,2.52,Ag1 Br1,41.0,80.0,750.365,14.0,132.5,2.445,1.5,2.5,10.0,14.0,0.5,1.0,22.905,0.7285,144.5
AgCl,5.13,Ag1 Cl1,32.0,79.5,703.265,14.0,123.5,2.545,1.5,2.5,5.0,9.0,0.5,1.0,20.41375,1.2465,144.5
AgF,2.8,Ag1 F1,28.0,79.0,644.215,14.0,101.0,2.955,1.5,2.5,5.0,9.0,0.5,1.0,13.018749999999999,0.985,120.0
AgO,1.57,Ag1 O1,27.5,76.0,644.865,13.5,105.5,2.685,1.5,2.0,5.0,8.5,1.0,1.5,12.7175,0.0,118.5
AgP15,1.47,Ag1 P15,17.0,81.875,374.651875,14.75,109.375,2.17375,1.9375,2.8125,0.625,5.375,2.8125,2.875,22.18022321425,1.5234375,15.9375
AgPd(IO3)3,1.5,Ag1 Pd1 I3 O9,23.142857142857142,85.57142857142857,336.9092857142858,15.428571428571429,92.5,3.0764285714285715,1.7857142857142858,3.642857142857143,3.5714285714285716,9.0,1.5,1.5714285714285714,17.266428571428573,0.22757142857142856,53.57142857142857
AgSO4,0.18,Ag1 S1 O4,15.833333333333334,83.5,307.08166666666665,15.166666666666666,85.66666666666667,3.045,1.8333333333333333,3.3333333333333335,1.6666666666666667,6.833333333333333,1.6666666666666667,1.8333333333333333,13.089479166666665,0.367,57.166666666666664
AgTe2As,0.8,Ag1 Te2 As1,46.0,82.25,942.5625,14.5,135.0,2.0775,1.75,2.75,10.0,14.5,1.75,2.0,27.007916666649997,0.232,173.75
Al0.01Cd0.99Sb0.01Te0.99,1.6,Al0.01 Cd0.99 Sb0.01 Te0.99,49.81999999999999,79.99,661.0418500000001,14.0,140.89,1.8943500000000002,2.0,2.0,9.95,13.95,1.03,1.03,27.0980749999835,0.22968000000000002,173.225
Al0.01Ga0.99P1,2.27,Al0.01 Ga0.99 P1,22.91,78.495,313.2578,14.0,114.495,1.999,2.0,2.0,4.95,8.95,4.0,4.0,20.7019815476,0.8125,33.805
Al0.01In0.99P1,1.3,Al0.01 In0.99 P1,31.82,78.99000000000001,376.04359999999997,14.0,124.39500000000001,1.98415,2.0,2.0,4.95,8.95,4.0,4.0,23.376219047600003,0.8125,70.92999999999999
Al0.05Cd0.95Sb0.05Te0.95,1.37,Al0.05 Cd0.95 Sb0.05 Te0.95,49.099999999999994,79.95,671.4492499999999,14.0,140.45,1.89175,2.0,2.0,9.75,13.75,1.15,1.15,26.973708333317497,0.2204,174.125
Al0.15Ga0.85As1,1.6,Al0.15 Ga0.85 As1,30.65,78.925,743.7470000000001,14.0,120.425,1.98,2.0,2.0,9.25,13.25,4.0,4.0,20.337937500000002,0.0,127.075
Al0.1Cd0.9Sb0.1Te0.9,1.36,Al0.1 Cd0.9 Sb0.1 Te0.9,48.2,79.9,684.4585,14.0,139.9,1.8885,2.0,2.0,9.5,13.5,1.3,1.3,26.818249999985,0.2088,175.25
Al0.1In0.9P1,1.5,Al0.1 In0.9 P1,30.2,78.9,398.711,14.0,123.45,1.9765000000000001,2.0,2.0,4.5,8.5,4.0,4.0,23.0261190476,0.8125,74.80000000000001
Al0.2Ga0.8P1,2.3,Al0.2 Ga0.8 P1,21.200000000000003,78.4,373.16100000000006,14.0,114.4,1.98,2.0,2.0,4.0,8.0,4.0,4.0,20.4761190476,0.8125,49.1
Al0.2In0.8P1,1.7,Al0.2 In0.8 P1,28.400000000000002,78.8,423.89700000000005,14.0,122.4,1.968,2.0,2.0,4.0,8.0,4.0,4.0,22.637119047600002,0.8125,79.1
Al0.35Ga0.65As1,2.0,Al0.35 Ga0.65 As1,28.85,78.825,806.803,14.0,120.32499999999999,1.9600000000000002,2.0,2.0,8.25,12.25,4.0,4.0,20.1001875,0.0,143.175
Al0.3Ga0.7As1,1.81,Al0.3 Ga0.7 As1,29.299999999999997,78.85,791.039,14.0,120.35,1.965,2.0,2.0,8.5,12.5,4.0,4.0,20.159625,0.0,139.15
Al0.3In0.7P1,1.9,Al0.3 In0.7 P1,26.599999999999998,78.7,449.08299999999997,14.0,121.35,1.9595,2.0,2.0,3.5,7.5,4.0,4.0,22.2481190476,0.8125,83.4
Al0.45Cd0.55Sb0.45Te0.55,1.93,Al0.45 Cd0.55 Sb0.45 Te0.55,41.900000000000006,79.55,775.5232500000001,14.000000000000002,136.05,1.86575,2.0,2.0,7.75,11.75,2.35,2.35,25.7300416666575,0.12760000000000002,183.125
Al0.4Cd0.6Sb0.4Te0.6,1.8,Al0.4 Cd0.6 Sb0.4 Te0.6,42.800000000000004,79.6,762.514,14.0,136.6,1.8690000000000002,2.0,2.0,8.0,12.0,2.2,2.2,25.885499999990003,0.1392,181.99999999999997
Al0.4Ga0.6P1,2.35,Al0.4 Ga0.6 P1,19.4,78.3,436.217,14.0,114.30000000000001,1.96,2.0,2.0,3.0,7.0,4.0,4.0,20.238369047600003,0.8125,65.2
